Date,Volume,EMA10,EMA50,EMA200,Open,High,Low,Close(t)
10/18/2010,6331300,160.22,160.22,160.22,165,165.19,161.82,163.56
10/19/2010,7525000,159.7,159.7,159.7,160.68,162.8,157,158.67
10/20/2010,5790400,159.36,159.36,159.36,158.78,159.87,156.57,158.67
10/21/2010,13482500,161.23,161.23,161.23,162.67,166.13,161.29,164.97
10/22/2010,16318400,163.86,163.86,163.86,162.45,170.17,162.27,169.13
10/25/2010,6530900,165.57,165.57,165.57,171.57,171.99,168.32,169
10/26/2010,4689600,167.03,167.03,167.03,167.57,171,167.5,169.95
10/27/2010,5721800,167.19,167.19,167.19,168.91,169.75,166.54,167.51
10/28/2010,4684400,167.07,167.07,167.07,168.31,168.49,165.05,166.84
10/29/2010,4998500,166.46,166.46,166.46,165.8,168.5,164.81,165.23
11/1/2010,5239900,165.17,165.17,165.17,164.45,164.58,161.52,162.58
11/2/2010,4260000,164.98,164.98,164.98,163.75,165.94,163.36,164.61
11/3/2010,6112100,166.14,166.14,166.14,165.4,168.61,162.29,168.47
11/4/2010,7395900,167.07,167.07,167.07,169.86,172.53,168.4,168.93
11/5/2010,5212200,168.31,168.31,168.31,169.35,171.65,168.59,170.77
11/8/2010,5706000,169.53,169.53,169.53,170.84,173.2,168.78,171.99
11/9/2010,3978600,169.78,169.78,169.78,172.67,173.14,169.06,170.27
11/10/2010,5440300,170.96,170.96,170.96,170.59,173.37,169.41,173.33
11/11/2010,5691700,170.77,170.77,170.77,171,172.05,169.42,170.37
11/12/2010,7160600,169.07,169.07,169.07,170.12,171.26,165.05,165.68
11/15/2010,9648600,165.68,165.68,165.68,165.16,165.35,158.56,158.9
11/16/2010,6571400,163.05,163.05,163.05,158.74,160.91,156.77,157.78
11/17/2010,4524900,161.48,161.48,161.48,157.84,160.85,157.55,158.35
11/18/2010,6225300,162.38,162.38,162.38,160.74,165,160.74,164.17
11/19/2010,4464800,163.19,163.19,163.19,163.95,164.99,162.84,164.82
11/22/2010,6142500,165.59,165.59,165.59,165.1,170.6,165,170.39
11/23/2010,6465300,166.46,166.46,166.46,168.61,168.81,164.62,168.2
11/24/2010,10042500,170.06,170.06,170.06,171.53,177.89,171.53,177.25
11/26/2010,4271600,172.44,172.44,172.44,177.36,178.38,176.16,177.2
11/29/2010,9695000,174.79,174.79,174.79,179.99,181.84,177.57,179.49
11/30/2010,6762200,174.99,174.99,174.99,176.95,177.7,174.9,175.4
12/1/2010,5770100,175.51,175.51,175.51,179.16,179.32,176,176.55
12/2/2010,5537600,175.85,175.85,175.85,176.86,177.45,173.92,176.53
12/3/2010,4907500,175.79,175.79,175.79,175.5,176.4,174.05,175.68
12/6/2010,5654200,176.55,176.55,176.55,175.52,178.43,174.6,178.05
12/7/2010,5077100,176.62,176.62,176.62,180.5,181.47,176.57,176.77
12/8/2010,3726900,176.51,176.51,176.51,177.49,178.16,175.2,176.29
12/9/2010,4555500,175.96,175.96,175.96,177.77,178.11,173.8,174.85
12/10/2010,3565500,175.84,175.84,175.84,174.88,175.95,173.36,175.62
12/13/2010,4202500,175.31,175.31,175.31,176.33,177.94,173.73,174.25
12/14/2010,3685300,174.86,174.86,174.86,174.28,175.76,173.09,173.94
12/15/2010,5810500,175.09,175.09,175.09,173.72,179,173.59,175.57
12/16/2010,4121500,176.08,176.08,176.08,175.58,178.3,175.04,178.04
12/17/2010,4507300,176.58,176.58,176.58,178.41,178.75,177.02,177.58
12/20/2010,8735300,178.81,178.81,178.81,179.27,183.98,178.04,183.29
12/21/2010,5111000,180.79,180.79,180.79,183.88,185.65,182.6,184.75
12/22/2010,2578100,182.12,182.12,182.12,185,185.45,184.11,184.76
12/23/2010,3358200,182.27,182.27,182.27,184.34,184.98,181.89,182.59
12/27/2010,2249400,182.23,182.23,182.23,181.9,183.14,180.45,182.14
12/28/2010,1975000,181.85,181.85,181.85,182.1,182.77,181.05,181.09
12/29/2010,3120100,182.36,182.36,182.36,181.8,184.35,180.41,183.37
12/30/2010,1961200,182.49,182.49,182.49,183.92,184.55,182.75,182.75
12/31/2010,3451900,181.66,181.66,181.66,181.96,182.3,179.51,180
1/3/2011,5331400,182.51,182.51,182.51,181.37,186,181.21,184.22
1/4/2011,5031800,183.34,183.34,183.34,186.15,187.7,183.78,185.01
1/5/2011,3418800,184.7,184.7,184.7,184.1,187.45,184.07,187.42
1/6/2011,3179700,185.09,185.09,185.09,186.5,187.41,185.25,185.86
1/7/2011,5221700,185.22,185.22,185.22,187.88,188.45,183.74,185.49
1/10/2011,3375900,185.04,185.04,185.04,185.04,185.29,182.51,184.68
1/11/2011,2814200,184.81,184.81,184.81,185.42,186,183.21,184.34
1/12/2011,2679100,184.57,184.57,184.57,185.36,185.38,183.3,184.08
1/13/2011,3367000,184.89,184.89,184.89,183.6,186.45,183.51,185.53
1/14/2011,3662800,186.17,186.17,186.17,185.5,188.94,184.92,188.75
1/18/2011,3896200,187.87,187.87,187.87,188.66,191.6,188.25,191.25
1/19/2011,3882400,187.53,187.53,187.53,190.9,191,186.21,186.87
1/20/2011,5709900,185.68,185.68,185.68,185.29,186.85,181,181.96
1/21/2011,6806200,182.92,182.92,182.92,183,183.25,176.84,177.42
1/24/2011,5600300,180.9,180.9,180.9,177.95,178.49,174.15,176.85
1/25/2011,4651000,179.5,179.5,179.5,175.5,176.75,174.28,176.7
1/26/2011,3762200,178.13,178.13,178.13,177.51,177.89,174.63,175.39
1/27/2011,14594400,180.24,180.24,180.24,177.48,185,177.31,184.45
1/28/2011,19908200,177.2,177.2,177.2,171.45,173.71,166.9,171.14
1/31/2011,6718100,174.68,174.68,174.68,170.16,171.44,167.41,169.64
2/1/2011,5085900,173.83,173.83,173.83,170.52,173.1,169.51,172.11
2/2/2011,4547500,173.73,173.73,173.73,171.42,175.2,170.87,173.53
2/3/2011,3678900,173.72,173.72,173.72,173.5,174.67,171.95,173.71
2/4/2011,4347800,174.46,174.46,174.46,174,177.19,173.75,175.93
2/7/2011,5254700,175.11,175.11,175.11,176.15,177.55,174.77,176.43
2/8/2011,7794900,177.76,177.76,177.76,176.66,183.11,176.59,183.06
2/9/2011,8312700,180.28,180.28,180.28,183.15,186.47,182.26,185.3
