Date,Volume,EMA10,EMA50,EMA200,Open,High,Low,Close(t)
10/16/2015,25412900,95.48,95.48,95.48,96.18,97.59,95.35,97.54
10/19/2015,23729900,96.48,96.48,96.48,97.18,98.57,96.92,98.47
10/20/2015,30881800,96.65,96.65,96.65,98.73,99.59,96.56,97
10/21/2015,21917800,96.8,96.8,96.8,97.37,98.18,96.47,97.11
10/22/2015,26392100,97.76,97.76,97.76,97.79,99.73,97.55,99.67
10/23/2015,42809700,99.24,99.24,99.24,101.91,102.85,100.16,102.19
10/26/2015,25961200,100.75,100.75,100.75,102.2,103.81,101.55,103.77
10/27/2015,23795500,101.73,101.73,101.73,102.94,104.1,102.4,103.7
10/28/2015,24081500,102.55,102.55,102.55,103.9,104.48,102.92,104.2
10/29/2015,20316700,103.33,103.33,103.33,103.96,105.12,103.52,104.88
10/30/2015,33487100,102.88,102.88,102.88,104.51,104.72,101.65,101.97
11/2/2015,24003900,103.02,103.02,103.02,101.72,103.47,101.18,103.31
11/3/2015,21242300,102.87,102.87,102.87,103.22,103.65,102.4,102.58
11/4/2015,43469300,103.23,103.23,103.23,103.19,104.14,102.48,103.94
11/5/2015,63232900,105.07,105.07,105.07,108.8,110.65,107.95,108.76
11/6/2015,35084300,105.75,105.75,105.75,108.04,108.74,105.91,107.1
11/9/2015,26383500,106,106,106,107,108.25,105.86,106.49
11/10/2015,25031700,106.63,106.63,106.63,105.96,108.15,105.24,107.91
11/11/2015,25057100,107.43,107.43,107.43,108.27,109.87,107.11,109.01
11/12/2015,20924700,107.62,107.62,107.62,108.48,109.39,108,108.02
11/13/2015,30278400,106.4,106.4,106.4,107.71,108.25,103.83,103.95
11/16/2015,49309200,105.61,105.61,105.61,103.32,104.17,100.47,104.04
11/17/2015,26807200,105.45,105.45,105.45,104.62,106.2,104.14,105.13
11/18/2015,23836500,106.22,106.22,106.22,105.8,107.88,105.39,107.77
11/19/2015,25520600,106.24,106.24,106.24,107.36,107.73,105.95,106.26
11/20/2015,22129600,106.6,106.6,106.6,106.84,107.87,106.62,107.32
11/23/2015,19897200,106.72,106.72,106.72,107.19,107.47,106.08,106.95
11/24/2015,23577300,106.39,106.39,106.39,106,106.49,104.39,105.74
11/25/2015,15150800,106.06,106.06,106.06,106.33,106.6,105.1,105.41
11/27/2015,5913100,105.86,105.86,105.86,105.78,105.96,104.86,105.45
11/30/2015,20383200,105.32,105.32,105.32,105.84,106.1,103.75,104.24
12/1/2015,22781900,105.92,105.92,105.92,104.83,107.15,104.5,107.12
12/2/2015,24429100,105.97,105.97,105.97,107,107.92,105.79,106.07
12/3/2015,23236500,105.44,105.44,105.44,106.27,106.85,103.35,104.38
12/4/2015,21224700,105.69,105.69,105.69,104.81,107.73,104.11,106.18
12/7/2015,15474900,105.66,105.66,105.66,106.48,106.83,104.66,105.61
12/8/2015,20401800,105.94,105.94,105.94,104,106.91,103.95,106.49
12/9/2015,23517300,105.49,105.49,105.49,106.18,106.44,103.55,104.6
12/10/2015,17454300,105.47,105.47,105.47,105.05,106.4,104.41,105.42
12/11/2015,26427700,104.35,104.35,104.35,104.15,104.34,101.91,102.12
12/14/2015,24648100,104.45,104.45,104.45,102.29,104.74,101.46,104.66
12/15/2015,21764300,104.49,104.49,104.49,105.3,105.8,104.28,104.55
12/16/2015,22680500,105.25,105.25,105.25,105.37,107.09,104.19,106.79
12/17/2015,21675700,105.58,105.58,105.58,107.49,107.75,106.13,106.22
12/18/2015,35994200,105.06,105.06,105.06,106.08,106.59,103.97,104.04
12/21/2015,16138800,104.97,104.97,104.97,104.91,105.15,103.6,104.77
12/22/2015,14597100,105.15,105.15,105.15,105.22,105.66,104.81,105.51
12/23/2015,19599700,104.97,104.97,104.97,105.89,106.11,103.86,104.63
12/24/2015,6501800,104.99,104.99,104.99,104.74,105.32,104.5,105.02
12/28/2015,13069700,105.3,105.3,105.3,105.02,105.98,104.53,105.93
12/29/2015,17179900,105.96,105.96,105.96,106.42,107.74,106.25,107.26
12/30/2015,13115000,106.04,106.04,106.04,107,107.25,106.06,106.22
12/31/2015,18391100,105.58,105.58,105.58,106,106.17,104.62,104.66
1/4/2016,37912400,104.46,104.46,104.46,101.95,102.24,99.75,102.22
1/5/2016,23258200,103.88,103.88,103.88,102.89,103.71,101.67,102.73
1/6/2016,25096200,103.58,103.58,103.58,101.13,103.77,100.9,102.97
1/7/2016,45172900,101.69,101.69,101.69,100.5,101.43,97.3,97.92
1/8/2016,35402300,100.24,100.24,100.24,99.88,100.5,97.03,97.33
1/11/2016,29932400,99.33,99.33,99.33,97.91,98.6,95.39,97.51
1/12/2016,28395400,99.34,99.34,99.34,99,99.96,97.55,99.37
1/13/2016,33410600,98.04,98.04,98.04,100.58,100.58,95.21,95.44
1/14/2016,48658600,98.15,98.15,98.15,95.85,98.87,92.45,98.37
1/15/2016,46132800,97.09,97.09,97.09,93.98,96.38,93.54,94.97
1/19/2016,30998300,96.48,96.48,96.48,96.53,97.42,93.92,95.26
1/20/2016,59051400,95.77,95.77,95.77,92.83,95,89.37,94.35
1/21/2016,30518900,95.23,95.23,95.23,94.91,95.99,92.62,94.16
1/22/2016,30495400,96.14,96.14,96.14,96.41,98.07,95.49,97.94
1/25/2016,32482000,96.43,96.43,96.43,98.72,99.48,96.93,97.01
1/26/2016,26877100,96.73,96.73,96.73,97.76,97.88,95.66,97.34
1/27/2016,58699400,95.97,95.97,95.97,97.79,97.85,94.23,94.45
1/28/2016,107475300,100.35,100.35,100.35,107.2,110.34,104.81,109.11
1/29/2016,62739500,104.3,104.3,104.3,108.99,112.84,108.84,112.21
2/1/2016,46132700,107.9,107.9,107.9,112.27,115.72,112.01,115.09
2/2/2016,59778600,110.14,110.14,110.14,114.8,117.59,113.2,114.61
2/3/2016,56919300,110.99,110.99,110.99,115.27,115.34,109.75,112.69
2/4/2016,38890200,110.82,110.82,110.82,111.8,111.94,109.25,110.49
2/5/2016,76894700,108.57,108.57,108.57,109.51,109.58,103.18,104.07
2/8/2016,71229700,105.63,105.63,105.63,100.41,102.68,97.46,99.75
2/9/2016,62709000,103.6,103.6,103.6,97.14,102.4,96.82,99.54
2/10/2016,45179400,102.73,102.73,102.73,101.55,103.25,100.24,101
2/11/2016,43670600,102.46,102.46,102.46,99.6,105.11,98.88,101.91
2/12/2016,36176800,102.31,102.31,102.31,103.74,104.24,101.09,102.01
2/16/2016,45687200,102.08,102.08,102.08,103.8,103.93,100.24,101.61
