Date,Volume,EMA10,EMA50,EMA200,Open,High,Low,Close(t)
10/16/2000,13513900,29.57,29.57,29.57,29.49,29.94,29.29,29.87
10/17/2000,17530200,29.3,29.3,29.3,29.84,29.84,28.42,28.77
10/18/2000,19151700,29.11,29.11,29.11,27.8,28.87,27.35,28.71
10/19/2000,13716500,28.99,28.99,28.99,28.71,28.94,28.32,28.77
10/20/2000,18720100,28.32,28.32,28.32,28.32,28.58,26.71,26.96
10/23/2000,74151200,27.46,27.46,27.46,26.71,26.9,25.35,25.74
10/24/2000,47835100,27.51,27.51,27.51,26.12,27.61,25.9,27.61
10/25/2000,30422400,27.47,27.47,27.47,27.61,27.87,26.96,27.38
10/26/2000,19417200,27.3,27.3,27.3,27.42,27.61,26.58,26.96
10/27/2000,16082500,27.21,27.21,27.21,27.26,27.51,26.8,27.03
10/30/2000,18964100,27.45,27.45,27.45,27.13,27.93,27.03,27.93
10/31/2000,17858900,27.75,27.75,27.75,28,28.42,27.84,28.35
11/1/2000,16536200,27.89,27.89,27.89,28.32,28.42,27.87,28.16
11/2/2000,14911700,27.85,27.85,27.85,28.06,28.45,27.68,27.77
11/3/2000,12545000,27.76,27.76,27.76,27.84,27.87,27.38,27.58
11/6/2000,12422400,27.9,27.9,27.9,27.71,28.23,27.58,28.19
11/7/2000,10067400,28.07,28.07,28.07,28.19,28.48,28.06,28.42
11/8/2000,9861900,28.13,28.13,28.13,28.39,28.58,28,28.23
11/9/2000,12786900,28.16,28.16,28.16,27.97,28.39,27.48,28.23
11/10/2000,12742800,28.06,28.06,28.06,27.8,28.42,27.55,27.87
11/13/2000,19196800,27.58,27.58,27.58,26.9,27.55,26.12,26.61
11/14/2000,15295800,27.48,27.48,27.48,26.61,27.48,26.51,27.29
11/15/2000,12621700,27.38,27.38,27.38,27.09,27.45,26.67,27.16
11/16/2000,10725700,27.32,27.32,27.32,27.03,27.71,26.93,27.22
11/17/2000,12467200,27.16,27.16,27.16,27.26,27.64,26.48,26.84
11/20/2000,15386600,26.74,26.74,26.74,26.51,26.87,25.8,25.9
11/21/2000,12681700,26.58,26.58,26.58,25.9,26.67,25.9,26.25
11/22/2000,23112400,26.09,26.09,26.09,25.87,25.9,25.02,25.12
11/24/2000,6555100,25.91,25.91,25.91,25.61,25.77,25.38,25.54
11/27/2000,16729400,25.74,25.74,25.74,25.93,26.29,25.41,25.41
11/28/2000,15404700,25.75,25.75,25.75,25.41,26.11,25.22,25.77
11/29/2000,13249600,25.73,25.73,25.73,25.48,26.35,25.35,25.7
11/30/2000,20955000,25.7,25.7,25.7,25.48,25.9,24.8,25.64
12/1/2000,18931000,25.93,25.93,25.93,26.32,26.61,26.03,26.38
12/4/2000,12473200,26.19,26.19,26.19,26.38,26.84,26.29,26.71
12/5/2000,20790600,26.79,26.79,26.79,26.77,28.19,26.71,28
12/6/2000,16513800,27.16,27.16,27.16,27.71,28,27.35,27.9
12/7/2000,10773500,27.33,27.33,27.33,27.48,28,27.48,27.68
12/8/2000,17532800,27.74,27.74,27.74,28.19,28.74,28.1,28.55
12/11/2000,17102800,28.03,28.03,28.03,28.55,29.07,28.13,28.61
12/12/2000,26332600,27.79,27.79,27.79,27.87,28.48,27.06,27.32
12/13/2000,18265900,27.67,27.67,27.67,27.32,27.74,27.29,27.42
12/14/2000,16380200,27.32,27.32,27.32,27.29,27.32,26.61,26.61
12/15/2000,37335500,26.8,26.8,26.8,26.06,26.51,25.48,25.77
12/18/2000,14498900,26.66,26.66,26.66,26.16,26.61,26.12,26.38
12/19/2000,15992900,26.42,26.42,26.42,26.38,26.61,25.93,25.93
12/20/2000,21074900,25.79,25.79,25.79,25.12,25.57,24.54,24.54
12/21/2000,20462700,25.45,25.45,25.45,24.6,25.09,24.41,24.77
