Date,Volume,EMA10,EMA50,EMA200,Open,High,Low,Close(t)
10/17/2007,12048900,312.29,312.29,312.29,315.54,317.32,311.11,317.06
10/18/2007,24553800,314.9,314.9,314.9,318.02,321.01,314.56,320.13
10/19/2007,31546400,317.49,317.49,317.49,327.61,329.57,321.94,322.68
10/22/2007,13315400,320.23,320.23,320.23,319.65,327.83,318.46,325.7
10/23/2007,13573800,326.23,326.23,326.23,330.96,339.14,330.33,338.22
10/24/2007,14793500,330.23,330.23,330.23,336.69,339.07,330.11,338.25
10/25/2007,11579400,331.69,331.69,331.69,339.68,339.82,332.11,334.59
10/26/2007,6701000,333.67,333.67,333.67,337.35,338.61,334.36,337.64
10/29/2007,6126400,335.76,335.76,335.76,339.22,340.34,336.38,339.95
10/30/2007,13787300,339.75,339.75,339.75,339.09,350.31,339.09,347.73
10/31/2007,13739800,344.45,344.45,344.45,350.7,353.85,348.37,353.85
11/1/2007,13041300,346.95,346.95,346.95,351.75,357.22,351.24,351.96
11/2/2007,11671300,349.96,349.96,349.96,355.61,357.15,349.02,355.98
11/5/2007,17749600,354.37,354.37,354.37,353.85,365.48,353.39,363.19
11/6/2007,16855700,360,360,360,369.15,371.27,362.86,371.27
11/7/2007,16530400,362.28,362.28,362.28,370.94,373.99,361.93,366.84
11/8/2007,32991300,357.28,357.28,357.28,367.67,367.81,338.93,347.27
11/9/2007,22753400,348.96,348.96,348.96,338.23,341.28,330.94,332.32
11/12/2007,20434100,338.09,338.09,338.09,329.2,335.3,313.42,316.35
11/13/2007,16873900,335.6,335.6,335.6,322.82,330.79,316.35,330.61
11/14/2007,16173200,330.78,330.78,330.78,336.98,338.08,318.45,321.16
11/15/2007,13921400,325.57,325.57,325.57,319.6,324.07,312.31,315.14
11/16/2007,18067500,322.76,322.76,322.76,317.29,318.06,308.32,317.13
11/19/2007,11043700,319.58,319.58,319.58,315.11,318.7,309.56,313.24
11/20/2007,19661500,321.25,321.25,321.25,318.56,329.88,316.75,324.59
11/21/2007,14012900,324.37,324.37,324.37,322.21,335.32,321.36,330.59
11/23/2007,5471900,329.14,329.14,329.14,335.34,339.48,334.39,338.69
11/26/2007,13566600,330.54,330.54,330.54,340.44,347.05,332.83,333.33
11/27/2007,17791100,332.73,332.73,332.73,337.74,338.55,325.46,337.12
11/28/2007,15817100,337.31,337.31,337.31,341.4,347.5,336.41,346.48
11/29/2007,12403500,341.16,341.16,341.16,345.72,351.75,344.23,348.85
11/30/2007,15775200,343.06,343.06,343.06,355.86,355.89,341.4,346.85
12/3/2007,8641500,342.41,342.41,342.41,345.85,347.85,340.91,341.11
