Date,Volume,EMA10,EMA50,EMA200,Open,High,Low,Close(t)
10/17/2005,4296800,96.02,96.02,96.02,96.02,97.44,95.97,96.9
10/18/2005,4139600,96.32,96.32,96.32,96.49,98.01,96.47,96.93
10/19/2005,6704500,97.66,97.66,97.66,96.24,100.44,96.05,100.34
10/20/2005,9035700,97.94,97.94,97.94,99.53,101.27,98.48,98.51
10/21/2005,5417800,98.14,98.14,98.14,99.38,99.53,97.91,98.53
10/24/2005,5516500,99.52,99.52,99.52,99.3,102.43,98.88,102.29
10/25/2005,5102600,100.51,100.51,100.51,101.64,103.56,101.47,102.49
10/26/2005,4170000,101.36,101.36,101.36,102.24,103.69,101.75,103.07
10/27/2005,4132200,101.43,101.43,101.43,102.7,103.61,101.22,101.56
10/28/2005,3520700,102.06,102.06,102.06,102.62,103.49,101.7,103.33
10/31/2005,3816000,102.99,102.99,102.99,103.7,105.67,103.65,104.83
11/1/2005,3914900,103.66,103.66,103.66,105.11,105.26,103.53,105.02
11/2/2005,4266100,104.82,104.82,104.82,104.53,107.38,104.53,107.12
11/3/2005,5002600,105.6,105.6,105.6,107.84,107.84,106.26,107.18
11/4/2005,4093400,106.62,106.62,106.62,107.64,108.82,106.93,108.64
11/7/2005,3561400,106.79,106.79,106.79,108.26,109.25,106.74,107.14
11/8/2005,2944500,106.46,106.46,106.46,106.48,106.48,105.54,105.79
11/9/2005,2655400,106.56,106.56,106.56,106.05,107.62,105.77,106.77
11/10/2005,3174500,107.01,107.01,107.01,106.31,108.12,106,107.92
11/11/2005,2134000,107.29,107.29,107.29,107.39,108.37,107.24,107.84
11/14/2005,1799300,107.26,107.26,107.26,108.11,108.11,106.68,107.21
11/15/2005,2356400,106.9,106.9,106.9,107.6,107.65,105.41,106.16
11/16/2005,2538900,106.71,106.71,106.71,106.48,106.57,104.99,106.33
11/17/2005,2595400,107.2,107.2,107.2,106.19,108.18,106.07,108.18
11/18/2005,2616000,107.85,107.85,107.85,109.42,109.42,107.69,109.15
11/21/2005,2084400,108.51,108.51,108.51,108.88,109.9,108.25,109.84
11/22/2005,2392300,109.01,109.01,109.01,109.34,110.32,108.52,110
11/23/2005,3139800,109.75,109.75,109.75,110.01,111.98,110.01,111.23
11/25/2005,808200,110.25,110.25,110.25,111.33,111.9,111.19,111.26
11/28/2005,2759900,109.76,109.76,109.76,111.41,111.41,108.54,108.76
11/29/2005,3095500,109.24,109.24,109.24,109.5,109.86,107.06,108.22
11/30/2005,3016000,108.49,108.49,108.49,108.22,108.9,106.55,106.98
12/1/2005,2497400,108.35,108.35,108.35,108.26,109.22,107.52,108.08
12/2/2005,1891400,108.48,108.48,108.48,107.97,109.3,107.85,108.74
12/5/2005,2709600,109.11,109.11,109.11,108.47,110.89,107.36,110.37
12/6/2005,3019000,109.05,109.05,109.05,111.12,111.3,108.55,108.93
12/7/2005,2646300,108.62,108.62,108.62,108.41,108.76,106.89,107.75
12/8/2005,3191000,107.98,107.98,107.98,107.06,107.86,105.99,106.72
12/9/2005,1878800,107.84,107.84,107.84,107.14,107.89,106.55,107.56
12/12/2005,2006300,107.85,107.85,107.85,108.18,108.69,106.61,107.85
12/13/2005,3430800,108.3,108.3,108.3,106.85,109.41,106.61,109.2
12/14/2005,3471600,108.04,108.04,108.04,108.74,109.42,107.3,107.54
12/15/2005,5480900,107.51,107.51,107.51,106.39,107.51,105.85,106.43
12/16/2005,5437100,106.65,106.65,106.65,105.9,106.07,104.62,104.94
12/19/2005,4217400,105.7,105.7,105.7,105.6,105.69,103.24,103.8
12/20/2005,4094300,105.27,105.27,105.27,103.45,104.72,103.15,104.41
12/21/2005,3694400,105.38,105.38,105.38,104.82,106.43,104.62,105.61
12/22/2005,2437100,105.65,105.65,105.65,105.81,106.39,105.1,106.18
12/23/2005,1670200,105.86,105.86,105.86,106.14,106.57,105.69,106.28
12/27/2005,2826500,106.04,106.04,106.04,106.77,107.35,106.04,106.4
12/28/2005,1809100,106.08,106.08,106.08,106.43,106.86,105.89,106.17
12/29/2005,1684500,106.12,106.12,106.12,105.73,106.8,105.73,106.2
12/30/2005,1962500,106.06,106.06,106.06,105.48,106.24,105.11,105.94
1/3/2006,6188700,106.34,106.34,106.34,105.11,107.38,103.06,106.91
1/4/2006,4861600,106.04,106.04,106.04,105.65,106.94,104.84,105.43
1/5/2006,3717400,105.82,105.82,105.82,104.53,105.62,104.2,105.39
1/6/2006,4319600,106.18,106.18,106.18,105.6,107.22,105.6,106.88
1/9/2006,4723500,106.84,106.84,106.84,106.6,108.36,106.19,108.17
1/10/2006,5536800,107.74,107.74,107.74,107.89,110.29,107.86,109.53
1/11/2006,4671400,108.32,108.32,108.32,109.05,111,109.02,109.48
1/12/2006,3725500,108.78,108.78,108.78,109.01,110.51,108.99,109.71
1/13/2006,2894900,109.37,109.37,109.37,109.52,110.88,109.42,110.55
1/17/2006,3621600,109.58,109.58,109.58,108.67,110.44,108.33,109.99
1/18/2006,4302700,109.66,109.66,109.66,108.72,110.07,108.68,109.81
1/19/2006,5010700,110.11,110.11,110.11,110.1,111.84,110.09,111.01
1/20/2006,5679900,109.82,109.82,109.82,110.41,111.42,109.08,109.24
1/23/2006,3847900,110.02,110.02,110.02,109.41,111.52,109.41,110.43
1/24/2006,3758000,110.19,110.19,110.19,110.23,111.45,109.99,110.54
1/25/2006,3740500,110.46,110.46,110.46,111.08,111.4,110.09,111
1/26/2006,4808200,111.71,111.71,111.71,110.55,114.99,110.55,114.2
1/27/2006,3687900,112.97,112.97,112.97,114.64,116.15,113.95,115.48
1/30/2006,3168600,114.06,114.06,114.06,115.98,116.89,115.29,116.25
1/31/2006,4906200,115.17,115.17,115.17,116.13,117.9,115.07,117.4
2/1/2006,3635900,116.04,116.04,116.04,117.52,118.81,116.71,117.78
2/2/2006,3711000,116.84,116.84,116.84,118.24,119.49,117.52,118.45
2/3/2006,4178900,117.44,117.44,117.44,117.65,118.95,116.94,118.63
2/6/2006,3849300,117.86,117.86,117.86,118.53,119.76,117.69,118.7
2/7/2006,5207700,117.22,117.22,117.22,118.31,119.11,115.93,115.93
2/8/2006,4481400,117.24,117.24,117.24,116.44,117.96,115.79,117.3
2/9/2006,3059500,117.18,117.18,117.18,117.3,118.73,116.76,117.06
2/10/2006,4433100,117.13,117.13,117.13,116.91,117.89,114.53,117.03
2/13/2006,2155200,116.78,116.78,116.78,116.07,117.85,115.65,116.07
2/14/2006,3003100,117.13,117.13,117.13,117.35,118.29,115.33,117.84
2/15/2006,4330700,118.3,118.3,118.3,118.02,120.93,117.52,120.63
2/16/2006,2847300,119.29,119.29,119.29,121.43,121.63,119.86,121.26
2/17/2006,2407200,119.84,119.84,119.84,121.5,121.53,119.73,120.96
2/21/2006,2539800,119.64,119.64,119.64,120.98,121.14,118.86,119.22
2/22/2006,2664200,120.07,120.07,120.07,119.22,120.95,119.04,120.95
2/23/2006,2457400,119.93,119.93,119.93,121.02,121.02,119.51,119.65
2/24/2006,2314700,119.89,119.89,119.89,118.89,120.85,118.89,119.81
2/27/2006,2282200,119.77,119.77,119.77,120.35,120.72,119.13,119.53
2/28/2006,3911700,118.99,118.99,118.99,119.35,119.81,117.28,117.43
3/1/2006,2989900,118.99,118.99,118.99,118,119.47,117.65,118.98
3/2/2006,2902300,119.22,119.22,119.22,118.91,120.4,118.22,119.68
3/3/2006,4042700,119.93,119.93,119.93,119.27,122.57,118.93,121.34
3/6/2006,2900600,120.13,120.13,120.13,121.79,122.24,119.94,120.53
3/7/2006,2775400,120.05,120.05,120.05,119.99,120.06,118.99,119.91
3/8/2006,3633100,119.51,119.51,119.51,119.31,120.24,117.4,118.43
3/9/2006,2262100,118.93,118.93,118.93,118.57,119.18,117.35,117.77
3/10/2006,3247000,118.5,118.5,118.5,117.71,118.39,116.48,117.63
3/13/2006,4945700,117.99,117.99,117.99,117.65,118.81,115.68,116.96
3/14/2006,11360100,120.05,120.05,120.05,121.28,124.25,121.03,124.19
3/15/2006,7557100,121.32,121.32,121.32,123.26,124.37,122.67,123.84
3/16/2006,6025800,121.79,121.79,121.79,123.92,124.41,122.55,122.75
3/17/2006,6670000,122.85,122.85,122.85,123.21,125.95,123.03,124.97
3/20/2006,4896800,124.06,124.06,124.06,124.71,126.88,124.5,126.48
3/21/2006,4460600,124.1,124.1,124.1,126.01,126.33,123.85,124.17
3/22/2006,3770800,124.79,124.79,124.79,123.26,126.63,123.26,126.18
3/23/2006,3852700,125.21,125.21,125.21,125.64,126.3,125.04,126.06
3/24/2006,2651700,125.63,125.63,125.63,126.06,126.8,125.4,126.47
3/27/2006,4314600,126.7,126.7,126.7,126.44,129.12,126.44,128.82
3/28/2006,6481600,127.17,127.17,127.17,128.83,131.17,128.13,128.13
3/29/2006,4458100,128.25,128.25,128.25,128.74,130.96,128.69,130.4
3/30/2006,4771000,128.94,128.94,128.94,131.09,132.67,129.41,130.33
3/31/2006,3298400,129.45,129.45,129.45,130.49,131.63,129.86,130.45
4/3/2006,3979800,130.1,130.1,130.1,131.31,132.88,130.42,131.42
4/4/2006,5088800,131.34,131.34,131.34,131.42,134.11,131.42,133.81
4/5/2006,4191500,132.09,132.09,132.09,133.4,134.58,132.98,133.6
4/6/2006,4180900,132.96,132.96,132.96,133.04,134.7,133.04,134.68
4/7/2006,4964100,133.25,133.25,133.25,134.68,135.61,132.89,133.83
4/10/2006,4470700,133.84,133.84,133.84,135.06,136.35,134.18,135.02
4/11/2006,4962800,133.32,133.32,133.32,135.47,135.72,131.74,132.27
4/12/2006,3404000,133.07,133.07,133.07,132.67,133.23,131.65,132.58
4/13/2006,2217100,132.88,132.88,132.88,131.69,132.72,131.48,132.51
4/17/2006,3381700,133.45,133.45,133.45,133.19,135.65,132.98,134.59
4/18/2006,4828300,134.83,134.83,134.83,135.27,138.12,134.08,137.59
4/19/2006,4670400,136.17,136.17,136.17,136.76,139.27,135.97,138.84
4/20/2006,4893900,137.48,137.48,137.48,138.02,140.72,138.02,140.09
4/21/2006,3591500,137.7,137.7,137.7,140.44,140.47,137.69,138.16
4/24/2006,3431400,137.71,137.71,137.71,137.84,138.48,136.17,137.71
4/25/2006,3361400,137,137,137,137.71,137.92,134.72,135.59
4/26/2006,3032600,136.7,136.7,136.7,136.17,137.13,135.09,136.09
4/27/2006,4063900,136.65,136.65,136.65,136.05,138.08,135.01,136.56
4/28/2006,5349000,135.6,135.6,135.6,136.43,137.33,132.13,133.5
5/1/2006,5652300,133.83,133.83,133.83,133.51,134.65,129.99,130.3
5/2/2006,3710700,133.32,133.32,133.32,131.26,133.26,130.86,132.28
5/3/2006,2521000,133.06,133.06,133.06,132.84,133.13,131.38,132.55
5/4/2006,2554600,132.58,132.58,132.58,132.56,133.53,131.59,131.62
5/5/2006,3737500,134.02,134.02,134.02,133.05,137.09,133,136.91
5/8/2006,2395700,134.75,134.75,134.75,136.91,138.71,135.09,136.2
5/9/2006,2615300,135.85,135.85,135.85,136.38,138.47,136.34,138.05
5/10/2006,3215800,136.12,136.12,136.12,137.3,137.76,134.96,136.66
5/11/2006,3639600,134.97,134.97,134.97,136.9,137,132.09,132.66
5/12/2006,4579300,133.32,133.32,133.32,132.22,133.01,129.98,130.02
5/15/2006,6119200,131.39,131.39,131.39,128.76,130.76,125.85,127.54
5/16/2006,4016000,129.99,129.99,129.99,127.93,129.18,125.44,127.18
5/17/2006,7477600,127.81,127.81,127.81,125.64,125.89,122.43,123.44
5/18/2006,6076200,126.02,126.02,126.02,124.39,125.14,121.8,122.45
5/19/2006,6502500,125.49,125.49,125.49,123.51,125.3,122.22,124.44
5/22/2006,8472600,124.24,124.24,124.24,123.69,123.69,119.38,121.72
5/23/2006,5606600,122.72,122.72,122.72,123.3,124,119.68,119.68
5/24/2006,8759600,121.76,121.76,121.76,119.64,121.25,116.95,119.86
5/25/2006,5611300,122.08,122.08,122.08,120.93,122.7,120.5,122.7
5/26/2006,5749700,123.84,123.84,123.84,124.93,127.38,124.49,127.38
5/30/2006,5217200,124.16,124.16,124.16,125.76,126.55,124.3,124.79
5/31/2006,5262200,124.68,124.68,124.68,126.01,126.92,124.22,125.72
6/1/2006,4206200,125.75,125.75,125.75,125.69,127.92,125.09,127.88
6/2/2006,4253400,126.61,126.61,126.61,129.51,130.76,127.93,128.33
6/5/2006,5400000,126.16,126.16,126.16,129.05,130.17,124.8,125.26
6/6/2006,6562400,125.54,125.54,125.54,126.09,126.64,122.85,124.29
6/7/2006,4319900,125.32,125.32,125.32,124.3,127.03,123.51,124.89
6/8/2006,7885500,125.12,125.12,125.12,123.93,125.49,120.35,124.73
6/9/2006,4407300,125.03,125.03,125.03,125.76,126.68,124.09,124.84
6/12/2006,5860300,123.61,123.61,123.61,125.18,125.53,120.76,120.76
6/13/2006,15679700,121.06,121.06,121.06,120.35,121.18,114.94,115.97
6/14/2006,10541300,119.16,119.16,119.16,116.39,118.07,113.93,115.35
6/15/2006,10870200,119.45,119.45,119.45,116.93,120.92,116.66,120.03
6/16/2006,6368000,119.61,119.61,119.61,119.35,120.42,118.77,119.93
6/19/2006,6517300,119.65,119.65,119.65,120.75,121.39,119.06,119.72
6/20/2006,5808700,120.09,120.09,120.09,120.47,121.59,119.59,120.98
6/21/2006,7645900,121.66,121.66,121.66,121.4,125.19,121.18,124.79
6/22/2006,4402000,122.28,122.28,122.28,124.69,125.34,122.39,123.52
6/23/2006,3488000,122.59,122.59,122.59,123.14,124.43,122.6,123.2
6/26/2006,3799600,123.34,123.34,123.34,124.03,124.89,123.35,124.84
6/27/2006,3666400,123.08,123.08,123.08,124.14,125.67,122.56,122.56
6/28/2006,4907100,122.72,122.72,122.72,122.77,123.68,120.82,122
