Date,Volume,EMA10,EMA50,EMA200,Open,High,Low,Close(t)
10/16/2000,7710400,70.36,70.36,70.36,71.04,72.07,69.17,70.8
10/17/2000,8882500,70.91,70.91,70.91,71.32,72.55,69.17,71.99
10/18/2000,29777800,67.54,67.54,67.54,61.64,63.15,57.5,60.8
10/19/2000,17966900,65.5,65.5,65.5,62.44,62.76,59.05,61.44
10/20/2000,9369200,63.79,63.79,63.79,60.61,61.32,60.01,60.37
10/23/2000,9338600,62.25,62.25,62.25,60.37,60.53,58.02,59.17
10/24/2000,8826200,60.92,60.92,60.92,59.25,60.13,57.46,58.26
10/25/2000,14058500,59.21,59.21,59.21,57.66,57.94,55.39,55.79
10/26/2000,10135700,59.17,59.17,59.17,56.07,59.17,55.83,59.09
10/27/2000,6431400,59.34,59.34,59.34,59.25,59.69,57.98,59.69
10/30/2000,8084000,59.38,59.38,59.38,59.57,59.73,57.54,59.45
10/31/2000,10902600,60.51,60.51,60.51,59.73,63.15,59.73,62.76
11/1/2000,7466200,61.27,61.27,61.27,62.72,63.63,61.96,62.8
11/2/2000,7445100,62.5,62.5,62.5,63.07,65.19,62.76,64.95
11/3/2000,5848500,62.93,62.93,62.93,65.3,65.38,63.31,63.79
11/6/2000,4448500,63.26,63.26,63.26,63.63,65.22,63.35,63.91
11/7/2000,5420600,63.9,63.9,63.9,64.43,65.94,64.15,65.19
11/8/2000,6990800,63.86,63.86,63.86,66.11,66.18,63.31,63.79
11/9/2000,9047900,63.72,63.72,63.72,61.72,63.79,61.04,63.43
11/10/2000,6807900,62.26,62.26,62.26,62.52,62.76,59.33,59.33
11/13/2000,8684900,62.22,62.22,62.22,58.57,63.43,58.45,62.16
11/14/2000,5150900,62.64,62.64,62.64,63.31,63.71,62.84,63.47
11/15/2000,4160300,62.89,62.89,62.89,63.47,63.83,62.28,63.39
11/16/2000,3739700,62.82,62.82,62.82,63.31,63.59,62.68,62.68
11/17/2000,7717400,63.56,63.56,63.56,62.72,65.39,62.68,65.03
11/20/2000,7426600,64.33,64.33,64.33,64.75,65.87,64.35,65.87
11/21/2000,7180700,63.83,63.83,63.83,65.87,66.58,62.84,62.84
11/22/2000,5537100,63.5,63.5,63.5,62.84,64.31,62.72,62.84
11/24/2000,2497500,63.58,63.58,63.58,63.39,64.91,63.31,63.75
11/27/2000,3866200,63.32,63.32,63.32,64.07,65.07,62.8,62.8
11/28/2000,4799100,63.03,63.03,63.03,63,64.27,62.12,62.44
11/29/2000,5524600,63.24,63.24,63.24,62.36,63.75,61.68,63.67
11/30/2000,10651400,62.04,62.04,62.04,62.52,62.52,58.85,59.65
12/1/2000,7525100,61.7,61.7,61.7,60.24,63.35,60.2,61
12/4/2000,5566800,62.05,62.05,62.05,61.24,63.27,61.08,62.76
12/5/2000,7804200,63.35,63.35,63.35,64.07,66.82,63.55,65.95
12/6/2000,10096900,62.81,62.81,62.81,64.91,64.95,60.48,61.72
12/7/2000,7922000,61.67,61.67,61.67,60.64,61.2,59.41,59.41
12/8/2000,6140600,61.74,61.74,61.74,62.52,63.15,61.08,61.88
12/11/2000,6185600,61.36,61.36,61.36,61.56,62.68,59.81,60.6
12/12/2000,7913300,60.87,60.87,60.87,60.76,61.32,59.01,59.89
12/13/2000,6992600,59.98,59.98,59.98,60.52,61.64,57.85,58.21
12/14/2000,6131400,59.65,59.65,59.65,58.69,59.77,58.57,58.97
12/15/2000,14254500,58.44,58.44,58.44,57.41,57.85,55.7,56.02
12/18/2000,7693800,58.2,58.2,58.2,56.38,57.73,56.38,57.73
12/19/2000,7705300,57.96,57.96,57.96,57.53,60.24,57.29,57.49
12/20/2000,12579400,56.93,56.93,56.93,54.78,56.14,54.1,54.86
12/21/2000,12725500,55.3,55.3,55.3,54.54,56.1,51.07,52.03
12/22/2000,9514000,55.79,55.79,55.79,53.9,57.01,53.9,56.78
12/26/2000,6052300,55.23,55.23,55.23,56.78,57.13,53.75,54.1
12/27/2000,8245100,54.82,54.82,54.82,54.06,56.22,53.31,54.02
12/28/2000,9798600,54.68,54.68,54.68,53.27,56.26,52.39,54.38
12/29/2000,6943700,54.52,54.52,54.52,55.46,55.46,53.75,54.22
1/2/2001,8007200,54.38,54.38,54.38,53.9,55.82,53.67,54.1
1/3/2001,12769900,56.38,56.38,56.38,53.43,60.6,53.43,60.36
1/4/2001,15420500,57.4,57.4,57.4,60.44,63.63,59.13,59.45
1/5/2001,8043200,58.26,58.26,58.26,59.93,60.4,58.05,59.97
1/8/2001,6064800,58.73,58.73,58.73,59.65,59.93,58.41,59.69
1/9/2001,7547100,58.84,58.84,58.84,60.24,61.08,58.33,59.05
1/10/2001,7656100,59.1,59.1,59.1,59.01,60.56,58.49,59.61
1/11/2001,9635000,59.32,59.32,59.32,59.29,60.12,58.21,59.77
1/12/2001,6448000,59.5,59.5,59.5,59.77,61.52,58.93,59.85
1/16/2001,5671900,59.39,59.39,59.39,59.81,59.97,58.57,59.17
1/17/2001,9727000,60.15,60.15,60.15,60.84,62.36,60.16,61.68
1/18/2001,25244900,63.13,63.13,63.13,66.58,70.17,66.03,69.1
1/19/2001,14762200,65.75,65.75,65.75,68.58,72.68,68.42,70.97
1/22/2001,9618500,66.91,66.91,66.91,69.85,70.13,69.02,69.25
1/23/2001,9826900,67.8,67.8,67.8,69.89,70.13,68.66,69.57
1/24/2001,6760900,68.68,68.68,68.68,69.57,71.09,69.49,70.45
1/25/2001,4982100,69.34,69.34,69.34,70.25,70.89,69.81,70.65
1/26/2001,9095200,70.51,70.51,70.51,69.93,73.52,69.65,72.84
1/29/2001,5125000,71.45,71.45,71.45,71.77,73.68,71.75,73.35
1/30/2001,8242000,72.43,72.43,72.43,73.36,74.48,72.34,74.39
1/31/2001,8314200,72.11,72.11,72.11,73.84,74.48,71.45,71.45
2/1/2001,5580800,72.32,72.32,72.32,71.7,72.94,70.94,72.76
2/2/2001,5428400,71.66,71.66,71.66,71.93,72.72,69.92,70.34
2/5/2001,5113700,71.64,71.64,71.64,69.79,71.83,69.73,71.59
2/6/2001,7526400,72.04,72.04,72.04,71.59,73.8,70.94,72.84
2/7/2001,9006900,72.92,72.92,72.92,72.42,75.11,71.96,74.67
2/8/2001,8380800,72.9,72.9,72.9,74.67,75.49,72.83,72.87
2/9/2001,6318800,72.44,72.44,72.44,72.83,73.44,70.89,71.53
2/12/2001,6729300,72.76,72.76,72.76,70.6,73.91,70.44,73.38
2/13/2001,7193200,72.72,72.72,72.72,72.9,74.97,72.21,72.65
2/14/2001,7032900,72.98,72.98,72.98,72.65,74.19,71.85,73.51
2/15/2001,8098700,73.52,73.52,73.52,74.59,75.77,74.33,74.58
2/16/2001,7073000,73.49,73.49,73.49,73.16,73.92,72.77,73.45
2/20/2001,6748300,72.73,72.73,72.73,73.16,73.83,70.75,71.21
2/21/2001,9156900,71.38,71.38,71.38,69.96,71.21,68.52,68.66
