Date,Volume,EMA10,EMA50,EMA200,Open,High,Low,Close(t)
10/16/2000,8405600,22.24,22.24,22.24,22.29,22.57,21.5,21.95
10/17/2000,8318700,21.84,21.84,21.84,22.19,22.47,20.94,21.05
10/18/2000,29641500,21.38,21.38,21.38,18.58,21.15,17.96,20.46
10/19/2000,14981100,21.45,21.45,21.45,21.15,22.26,21.15,21.6
10/20/2000,7559300,21.4,21.4,21.4,21.46,21.84,21.15,21.29
10/23/2000,5240100,21.36,21.36,21.36,21.19,21.5,21.05,21.29
10/24/2000,10595900,21.65,21.65,21.65,21.19,22.36,21.15,22.23
10/25/2000,9256100,21.83,21.83,21.83,22.23,22.99,22.05,22.19
10/26/2000,10398700,21.95,21.95,21.95,22.57,22.71,21.57,22.19
10/27/2000,9867500,22.53,22.53,22.53,22.47,23.82,22.36,23.68
10/30/2000,7884900,23.11,23.11,23.11,23.75,24.37,23.75,24.27
10/31/2000,13186900,23.82,23.82,23.82,24.86,25.48,24.48,25.24
11/1/2000,8789400,24.33,24.33,24.33,25.24,25.42,24.69,25.35
11/2/2000,6435700,24.63,24.63,24.63,25.35,25.8,25.17,25.24
11/3/2000,5879800,24.64,24.64,24.64,25.28,25.28,24.48,24.65
11/6/2000,4568100,24.84,24.84,24.84,24.9,25.35,24.72,25.24
11/7/2000,4101800,24.87,24.87,24.87,25.03,25.17,24.76,24.93
11/8/2000,5754400,24.64,24.64,24.64,24.93,24.93,23.99,24.17
11/9/2000,6306500,24.58,24.58,24.58,23.89,24.58,23.61,24.48
11/10/2000,4465600,24.31,24.31,24.31,24.2,24.72,23.75,23.75
11/13/2000,6041800,23.99,23.99,23.99,23.23,23.65,22.61,23.37
11/14/2000,6506300,23.87,23.87,23.87,23.75,23.96,23.16,23.61
11/15/2000,8300500,23.45,23.45,23.45,23.33,23.75,22.54,22.61
11/16/2000,6940400,23.19,23.19,23.19,22.68,23.16,22.5,22.68
11/17/2000,8358900,22.79,22.79,22.79,22.71,22.75,21.71,21.98
11/20/2000,7421300,22.32,22.32,22.32,22.05,22.16,21.15,21.39
11/21/2000,6202100,22.03,22.03,22.03,21.39,21.81,20.94,21.46
11/22/2000,6600100,21.61,21.61,21.61,21.25,21.29,20.53,20.77
11/24/2000,3835500,21.65,21.65,21.65,21.05,21.74,20.98,21.71
11/27/2000,10451600,21.71,21.71,21.71,21.88,22.29,21.74,21.84
11/28/2000,13168300,21.5,21.5,21.5,21.88,22.26,20.77,21.08
11/29/2000,9867200,21.35,21.35,21.35,20.73,21.39,20.63,21.05
11/30/2000,15472400,21.05,21.05,21.05,20.63,21.22,19.66,20.46
12/1/2000,9448300,20.94,20.94,20.94,20.6,21.46,20.56,20.7
12/4/2000,6819200,20.97,20.97,20.97,20.73,21.29,20.46,21.05
12/5/2000,13818600,21.62,21.62,21.62,21.43,22.99,21.12,22.92
12/6/2000,19776900,21.82,21.82,21.82,22.88,23.99,21.67,22.23
12/7/2000,9650300,21.8,21.8,21.8,21.88,22.43,21.25,21.74
