Date,Volume,EMA10,EMA50,EMA200,Open,High,Low,Close(t)
10/16/2015,4334500,223.24,223.24,223.24,223.04,230.48,222.87,227.01
10/19/2015,2507900,224.86,224.86,224.86,226.5,231.15,224.94,228.1
10/20/2015,14900000,220.92,220.92,220.92,227.72,228.6,202,213.03
10/21/2015,4151500,217.31,217.31,217.31,211.99,214.81,208.8,210.09
10/22/2015,2825200,215.45,215.45,215.45,211.56,215.75,209.4,211.72
10/23/2015,4235500,213.33,213.33,213.33,215,215.35,207.69,209.09
10/26/2015,3391400,213.97,213.97,213.97,211.38,215.88,210,215.26
10/27/2015,3519400,212.76,212.76,212.76,214.84,217.1,207.51,210.35
10/28/2015,2728600,212.83,212.83,212.83,211.31,213.45,208.3,212.96
10/29/2015,1805000,212.43,212.43,212.43,211.75,213.75,210.64,211.63
10/30/2015,4438900,210.6,210.6,210.6,210.4,211.63,203.89,206.93
11/2/2015,3927900,211.66,211.66,211.66,208.92,215.8,207.22,213.79
11/3/2015,8332500,210.56,210.56,210.56,213.85,214.44,207.75,208.35
11/4/2015,12726400,217.58,217.58,217.58,227,232.74,225.2,231.63
11/5/2015,4496800,222.31,222.31,222.31,230.58,234.58,229.19,231.77
11/6/2015,2445300,225.66,225.66,225.66,230.7,233.36,229.5,232.36
11/9/2015,3850900,225.55,225.55,225.55,232.99,232.99,224.31,225.33
11/10/2015,4617000,222.53,222.53,222.53,223.48,223.7,216.08,216.5
11/11/2015,3347800,221.38,221.38,221.38,217.77,219.48,213.63,219.08
11/12/2015,2915900,218.57,218.57,218.57,217.85,219,212.66,212.94
11/13/2015,3430300,214.78,214.78,214.78,212.95,212.99,206.52,207.19
11/16/2015,2925400,214.62,214.62,214.62,206.09,214.98,205.8,214.31
11/17/2015,2148700,214.41,214.41,214.41,215.2,216,211.4,214
11/18/2015,2811900,216.63,216.63,216.63,214.5,221.38,212.52,221.07
11/19/2015,2504400,218.35,218.35,218.35,220.54,226.19,220.3,221.8
11/20/2015,4400700,218.91,218.91,218.91,223.49,225,213.58,220.01
11/23/2015,2526200,218.52,218.52,218.52,217.35,219.18,214.68,217.75
11/24/2015,2480300,218.43,218.43,218.43,215.37,221,215,218.25
11/25/2015,3990800,222.17,222.17,222.17,221.34,230.83,220.38,229.64
11/27/2015,1949400,225.31,225.31,225.31,231.06,232.25,227.01,231.61
11/30/2015,2659800,226.96,226.96,226.96,231.79,234.28,229.08,230.26
12/1/2015,3734000,230.37,230.37,230.37,231.06,238,231.05,237.19
12/2/2015,2981500,230.91,230.91,230.91,237,238.6,231.23,231.99
12/3/2015,2939600,231.51,231.51,231.51,235.48,237.45,230,232.71
12/4/2015,2573600,231.13,231.13,231.13,232.46,233.27,227.66,230.38
12/7/2015,3144200,231.13,231.13,231.13,227.7,235.63,226.15,231.13
12/8/2015,2687600,229.66,229.66,229.66,227.52,228.8,224.2,226.72
12/9/2015,3057800,227.95,227.95,227.95,226.7,227.5,220.72,224.52
12/10/2015,2071700,227.66,227.66,227.66,224.71,228.49,223.64,227.07
12/11/2015,3268700,224.11,224.11,224.11,225.24,225.75,216.64,217.02
12/14/2015,2827100,222.27,222.27,222.27,217.51,220.92,214.87,218.58
12/15/2015,2244400,221.87,221.87,221.87,221.82,222.22,218,221.09
12/16/2015,5104300,226.09,226.09,226.09,222.1,234.88,220.73,234.51
12/17/2015,3298600,228.52,228.52,228.52,233.94,237.76,229.81,233.39
12/18/2015,3014200,229.17,229.17,229.17,232.89,235.9,229.29,230.46
12/21/2015,1953200,230.3,230.3,230.3,231.69,235.83,231.08,232.56
12/22/2015,1961500,230.18,230.18,230.18,234.99,236.55,229.63,229.95
12/23/2015,1555000,230.02,230.02,230.02,232.18,233.45,228.13,229.7
12/24/2015,708000,230.2,230.2,230.2,230.56,231.88,228.28,230.57
12/28/2015,1901300,229.79,229.79,229.79,231.49,231.98,225.54,228.95
12/29/2015,2406300,232.25,232.25,232.25,230.06,237.72,229.55,237.19
12/30/2015,3697900,234.2,234.2,234.2,236.6,243.63,235.67,238.09
12/31/2015,2715000,236.14,236.14,236.14,238.51,243.45,238.37,240.01
1/4/2016,6827100,231.89,231.89,231.89,230.72,231.38,219,223.41
1/5/2016,3186800,229.07,229.07,229.07,226.36,226.89,220,223.43
1/6/2016,3779100,225.73,225.73,225.73,220,220.05,215.98,219.04
1/7/2016,3554300,222.37,222.37,222.37,214.19,218.44,213.67,215.65
1/8/2016,3628100,218.58,218.58,218.58,217.86,220.44,210.77,211
1/11/2016,4091400,215,215,215,214.01,214.45,203,207.85
1/12/2016,3091900,213.33,213.33,213.33,211.6,213.74,205.31,209.97
1/13/2016,4126400,208.99,208.99,208.99,212.01,212.65,200,200.31
1/14/2016,6490700,208.05,208.05,208.05,202.21,210,193.38,206.18
1/15/2016,5578600,207.03,207.03,207.03,198.97,205.07,197.25,204.99
1/19/2016,4038700,206.26,206.26,206.26,208.71,210.47,200.78,204.72
1/20/2016,5838600,203.74,203.74,203.74,199.4,201.28,191.25,198.7
1/21/2016,3166200,202.48,202.48,202.48,201.55,203.23,195.02,199.97
1/22/2016,3124100,202.51,202.51,202.51,204.8,205.5,199.03,202.55
1/25/2016,2698700,200.46,200.46,200.46,200.06,203.57,195.88,196.38
1/26/2016,4964200,198.16,198.16,198.16,196.7,197.82,188.88,193.56
1/27/2016,3617200,194.8,194.8,194.8,192.38,193.26,185.77,188.07
1/28/2016,4592800,193.1,193.1,193.1,190.79,191.28,182.41,189.7
1/29/2016,2852300,192.47,192.47,192.47,189.95,193.74,188.08,191.2
2/1/2016,5297600,193.96,193.96,193.96,188.76,199.52,182.75,196.94
2/2/2016,5773600,190.23,190.23,190.23,192.42,193.12,180.23,182.78
2/3/2016,7931400,184.65,184.65,184.65,183.59,183.94,170.18,173.48
2/4/2016,4385400,181.54,181.54,181.54,170.7,175.98,166.99,175.33
2/5/2016,9437600,175.23,175.23,175.23,171.3,173,157.74,162.6
2/8/2016,9313000,166.15,166.15,166.15,157.1,157.15,146,147.99
2/9/2016,8651600,160.18,160.18,160.18,142.32,159.79,141.05,148.25
2/10/2016,10406500,154.68,154.68,154.68,150.5,154.97,141.74,143.67
2/11/2016,14252400,153.28,153.28,153.28,152,163.26,147,150.47
2/12/2016,7235800,152.53,152.53,152.53,155,157.01,143.7,151.04
2/16/2016,5593800,153.41,153.41,153.41,158.7,162.95,154.11,155.17
2/17/2016,5825200,158.5,158.5,158.5,159,169.34,156.68,168.68
2/18/2016,3887600,161.26,161.26,161.26,172.42,172.95,164.77,166.77
2/19/2016,2959400,163.03,163.03,163.03,163.66,167.49,162.5,166.58
2/22/2016,5060100,167.93,167.93,167.93,170.12,178.91,169.85,177.74
2/23/2016,5984400,171.03,171.03,171.03,176.16,181.73,173.68,177.21
2/24/2016,5395600,173.68,173.68,173.68,172.75,179.5,167.84,179
2/25/2016,5750700,178.27,178.27,178.27,178.65,188.52,175.2,187.43
2/26/2016,6065100,182.29,182.29,182.29,188.7,192,185,190.34
2/29/2016,4499000,185.5,185.5,185.5,192.4,196.35,189.22,191.93
3/1/2016,6712200,185.79,185.79,185.79,194.25,195.95,182.7,186.35
3/2/2016,4862400,186.64,186.64,186.64,183.73,188.52,181.5,188.34
3/3/2016,4829000,189.67,189.67,189.67,188.28,197.42,184.22,195.74
3/4/2016,6489100,193.46,193.46,193.46,198,204.03,197.5,201.04
3/7/2016,5329400,197.4,197.4,197.4,197.68,209.7,197.4,205.29
3/8/2016,4178700,199.14,199.14,199.14,203.5,207.5,202.2,202.6
3/9/2016,3208600,202.33,202.33,202.33,204.52,209.37,202.79,208.72
3/10/2016,5192500,203.28,203.28,203.28,210,213.29,200.67,205.18
3/11/2016,3343100,204.69,204.69,204.69,207.93,209.42,205.33,207.5
3/14/2016,4065700,208.17,208.17,208.17,212.65,216.72,210.64,215.15
3/15/2016,3180500,211.56,211.56,211.56,214.27,218.97,211.5,218.34
3/16/2016,3516700,215.02,215.02,215.02,218,222.58,217.02,221.93
3/17/2016,3782900,218.81,218.81,218.81,221.47,228.5,220,226.38
3/18/2016,4711800,223.45,223.45,223.45,229.1,234.48,228.06,232.74
3/21/2016,5307800,228.41,228.41,228.41,235.34,239.88,235,238.32
3/22/2016,4316000,230.35,230.35,230.35,237.21,238.99,232.56,234.24
3/23/2016,4948800,227.76,227.76,227.76,232.37,234.73,222.03,222.58
3/24/2016,4960900,227.76,227.76,227.76,215.78,228.89,215,227.75
3/28/2016,3925700,228.59,228.59,228.59,231.61,234.81,225,230.26
3/29/2016,4014300,229.1,229.1,229.1,229.89,232.38,225.33,230.13
